snowpack,date,season,continent,region,resort,day_of_year
43,2018-01-22 00:00:00+00:00,2017,Europe,tuscany,abetone,22
43,2018-01-23 00:00:00+00:00,2017,Europe,tuscany,abetone,23
43,2018-01-24 00:00:00+00:00,2017,Europe,tuscany,abetone,24
43,2018-01-25 00:00:00+00:00,2017,Europe,tuscany,abetone,25
39,2018-01-26 00:00:00+00:00,2017,Europe,tuscany,abetone,26
39,2018-01-27 00:00:00+00:00,2017,Europe,tuscany,abetone,27
39,2018-01-29 00:00:00+00:00,2017,Europe,tuscany,abetone,29
39,2018-01-30 00:00:00+00:00,2017,Europe,tuscany,abetone,30
39,2018-01-31 00:00:00+00:00,2017,Europe,tuscany,abetone,31
39,2018-02-01 00:00:00+00:00,2017,Europe,tuscany,abetone,32
51,2018-02-02 00:00:00+00:00,2017,Europe,tuscany,abetone,33
79,2018-02-03 00:00:00+00:00,2017,Europe,tuscany,abetone,34
79,2018-02-04 00:00:00+00:00,2017,Europe,tuscany,abetone,35
79,2018-02-05 00:00:00+00:00,2017,Europe,tuscany,abetone,36
79,2018-02-06 00:00:00+00:00,2017,Europe,tuscany,abetone,37
79,2018-02-07 00:00:00+00:00,2017,Europe,tuscany,abetone,38
79,2018-02-08 00:00:00+00:00,2017,Europe,tuscany,abetone,39
79,2018-02-09 00:00:00+00:00,2017,Europe,tuscany,abetone,40
79,2018-02-10 00:00:00+00:00,2017,Europe,tuscany,abetone,41
79,2018-02-11 00:00:00+00:00,2017,Europe,tuscany,abetone,42
79,2018-02-12 00:00:00+00:00,2017,Europe,tuscany,abetone,43
79,2018-02-13 00:00:00+00:00,2017,Europe,tuscany,abetone,44
79,2018-02-14 00:00:00+00:00,2017,Europe,tuscany,abetone,45
79,2018-02-15 00:00:00+00:00,2017,Europe,tuscany,abetone,46
79,2018-02-16 00:00:00+00:00,2017,Europe,tuscany,abetone,47
79,2018-02-17 00:00:00+00:00,2017,Europe,tuscany,abetone,48
79,2018-02-18 00:00:00+00:00,2017,Europe,tuscany,abetone,49
79,2018-02-19 00:00:00+00:00,2017,Europe,tuscany,abetone,50
79,2018-02-20 00:00:00+00:00,2017,Europe,tuscany,abetone,51
79,2018-02-21 00:00:00+00:00,2017,Europe,tuscany,abetone,52
79,2018-02-22 00:00:00+00:00,2017,Europe,tuscany,abetone,53
87,2018-02-23 00:00:00+00:00,2017,Europe,tuscany,abetone,54
98,2018-02-24 00:00:00+00:00,2017,Europe,tuscany,abetone,55
102,2018-02-26 00:00:00+00:00,2017,Europe,tuscany,abetone,57
102,2018-02-27 00:00:00+00:00,2017,Europe,tuscany,abetone,58
102,2018-02-28 00:00:00+00:00,2017,Europe,tuscany,abetone,59
110,2018-03-01 00:00:00+00:00,2017,Europe,tuscany,abetone,60
114,2018-03-02 00:00:00+00:00,2017,Europe,tuscany,abetone,61
114,2018-03-03 00:00:00+00:00,2017,Europe,tuscany,abetone,62
118,2018-03-05 00:00:00+00:00,2017,Europe,tuscany,abetone,64
118,2018-03-06 00:00:00+00:00,2017,Europe,tuscany,abetone,65
118,2018-03-07 00:00:00+00:00,2017,Europe,tuscany,abetone,66
118,2018-03-08 00:00:00+00:00,2017,Europe,tuscany,abetone,67
118,2018-03-09 00:00:00+00:00,2017,Europe,tuscany,abetone,68
118,2018-03-10 00:00:00+00:00,2017,Europe,tuscany,abetone,69
118,2018-03-12 00:00:00+00:00,2017,Europe,tuscany,abetone,71
118,2018-03-13 00:00:00+00:00,2017,Europe,tuscany,abetone,72
118,2018-03-14 00:00:00+00:00,2017,Europe,tuscany,abetone,73
118,2018-03-15 00:00:00+00:00,2017,Europe,tuscany,abetone,74
118,2018-03-16 00:00:00+00:00,2017,Europe,tuscany,abetone,75
118,2018-03-17 00:00:00+00:00,2017,Europe,tuscany,abetone,76
118,2018-03-19 00:00:00+00:00,2017,Europe,tuscany,abetone,78
118,2018-03-20 00:00:00+00:00,2017,Europe,tuscany,abetone,79
118,2018-03-21 00:00:00+00:00,2017,Europe,tuscany,abetone,80
118,2018-03-22 00:00:00+00:00,2017,Europe,tuscany,abetone,81
118,2018-03-23 00:00:00+00:00,2017,Europe,tuscany,abetone,82
118,2018-03-24 00:00:00+00:00,2017,Europe,tuscany,abetone,83
118,2018-03-26 00:00:00+00:00,2017,Europe,tuscany,abetone,85
118,2018-03-27 00:00:00+00:00,2017,Europe,tuscany,abetone,86
118,2018-03-28 00:00:00+00:00,2017,Europe,tuscany,abetone,87
118,2018-03-29 00:00:00+00:00,2017,Europe,tuscany,abetone,88
118,2018-03-30 00:00:00+00:00,2017,Europe,tuscany,abetone,89
118,2018-03-31 00:00:00+00:00,2017,Europe,tuscany,abetone,90
118,2018-04-03 00:00:00+00:00,2017,Europe,tuscany,abetone,93
118,2018-04-04 00:00:00+00:00,2017,Europe,tuscany,abetone,94
118,2018-04-05 00:00:00+00:00,2017,Europe,tuscany,abetone,95
118,2018-04-06 00:00:00+00:00,2017,Europe,tuscany,abetone,96
110,2018-04-07 00:00:00+00:00,2017,Europe,tuscany,abetone,97
110,2018-04-09 00:00:00+00:00,2017,Europe,tuscany,abetone,99
110,2018-04-10 00:00:00+00:00,2017,Europe,tuscany,abetone,100
110,2018-04-11 00:00:00+00:00,2017,Europe,tuscany,abetone,101
110,2018-04-12 00:00:00+00:00,2017,Europe,tuscany,abetone,102
110,2018-04-13 00:00:00+00:00,2017,Europe,tuscany,abetone,103
110,2018-04-14 00:00:00+00:00,2017,Europe,tuscany,abetone,104
110,2018-04-16 00:00:00+00:00,2017,Europe,tuscany,abetone,106
110,2018-04-17 00:00:00+00:00,2017,Europe,tuscany,abetone,107
110,2018-04-18 00:00:00+00:00,2017,Europe,tuscany,abetone,108
110,2018-04-19 00:00:00+00:00,2017,Europe,tuscany,abetone,109
110,2018-04-20 00:00:00+00:00,2017,Europe,tuscany,abetone,110
110,2018-04-21 00:00:00+00:00,2017,Europe,tuscany,abetone,111
110,2018-04-23 00:00:00+00:00,2017,Europe,tuscany,abetone,113
110,2018-04-24 00:00:00+00:00,2017,Europe,tuscany,abetone,114
98,2018-04-26 00:00:00+00:00,2017,Europe,tuscany,abetone,116
98,2018-04-27 00:00:00+00:00,2017,Europe,tuscany,abetone,117
98,2018-04-28 00:00:00+00:00,2017,Europe,tuscany,abetone,118
